Name,Primary Segment,Units Sold,Unit Inventory,Revision Date,Age Dec.31,MTBF,Pfmn Coord,Size Coord,Price,Material Cost,Labor Cost,Contr Marg,Overtime,Automation Next Round,Capacity Next Round,Plant Utiliz
Dixie,High,644,127,7/22/2026,1.4,25000,15.3,4.7,$36.50 ,$13.75 ,$5.28 ,45%,0%,8,600,99%
Dot,Pfmn,"1,117",0,7/27/2026,1.5,27000,16.4,11.1,$31.50 ,$13.14 ,$6.24 ,38%,62%,8,700,160%
Dune,Size,"1,054",0,8/28/2026,1.4,21000,8.9,3.6,$31.50 ,$11.55 ,$4.93 ,48%,54%,8,700,152%
Derp,Size,"1,074",11,8/28/2026,1.3,21000,8.9,3.6,$31.50 ,$11.55 ,$4.70 ,47%,31%,8,700,129%
Deep,Trad,"1,353",34,1/5/2025,2.8,14000,9.6,10.4,$25.00 ,$7.48 ,$6.54 ,43%,100%,10,"1,000",198%
Damn,High,652,125,8/8/2026,1,25000,15.3,4.7,$36.50 ,$13.75 ,$5.58 ,45%,14%,8,550,113%
Eat,Trad,"1,108",17,10/11/2026,1.2,14000,8.5,11.8,$23.89 ,$6.74 ,$1.04 ,67%,0%,10,"1,050",75%
Ebb,Low,"2,709",43,12/21/2024,6.8,12000,5.7,14.3,$17.89 ,$4.65 ,$1.23 ,66%,62%,10,"1,450",161%
Echo,High,646,150,7/2/2026,1.5,25000,15.2,4.8,$36.50 ,$13.69 ,$6.62 ,41%,14%,7,500,113%
Edge,Pfmn,"1,185",189,8/11/2026,1.5,27000,16.4,11.1,$31.50 ,$13.14 ,$5.16 ,40%,100%,8,800,198%
Egg,Size,"1,161",123,7/14/2026,1.5,21000,8.9,3.6,$31.50 ,$11.55 ,$6.45 ,42%,98%,7,770,196%
Elf,Pfmn,"1,190",172,8/11/2026,1.4,27000,16.4,11.1,$31.50 ,$13.14 ,$5.16 ,40%,100%,8,800,198%
Eon,Size,"1,162",33,7/14/2026,1.4,21000,8.9,3.6,$31.50 ,$11.55 ,$6.46 ,43%,100%,7,760,198%
Fast,Trad,"1,581",891,5/27/2026,1.9,14000,9.9,10.1,$23.50 ,$7.66 ,$1.20 ,59%,46%,10,"1,300",144%
Feat,Low,"3,236",229,6/26/2024,7.1,12000,4.8,15.5,$17.55 ,$4.04 ,$1.29 ,69%,100%,10,"2,050",198%
Fist,High,657,360,7/8/2026,1.4,25000,15.2,4.8,$36.49 ,$13.69 ,$7.11 ,39%,39%,5,550,138%
Foam,Pfmn,993,0,6/30/2026,1.5,27000,16.4,11.1,$31.45 ,$13.14 ,$7.76 ,34%,100%,5,550,198%
Fume,Size,891,0,6/30/2026,1.5,21000,8.9,3.6,$31.49 ,$11.55 ,$7.76 ,39%,100%,5,550,198%
Fire,High,647,364,7/8/2026,1.4,25000,15.3,4.7,$36.49 ,$13.75 ,$7.20 ,38%,45%,5,550,144%
Faith,Pfmn,149,0,5/4/2026,0.7,27000,16.4,11.1,$31.45 ,$13.14 ,$8.51 ,31%,52%,4,200,99%
Face,Size,99,0,4/6/2026,0.7,19000,8.9,3.6,$31.49 ,$11.03 ,$8.24 ,38%,36%,5,150,99%
